-2018-10-21 09:24:45.135,373,6,840F,8410,8423,8428,8430,8432,0,-1694.63,99.44,-506.56,3034.66,646.8,-101,-88.4,-94.4,-89,-100.8,-103.8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:45.448,373,6,840F,8412,8428,8429,842E,8430,0,1875.67,-903.36,-1089.1,897.73,1301.57,-97.6,-103.8,-89.2,-89.8,-99.2,-102.2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:45.448,8,4,840F,8429,842E,8430,0,-643.99,1365.36,1750.44,-95,-90,-97.8,-104.4,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:45.698,8,4,840F,8410,8415,8430,0,-1810.48,827.38,1816.58,-96,-87.4,-96.8,-100.6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:45.698,373,7,840F,8410,8412,8415,8428,8430,8432,0,-1699.32,485.92,719.5,-506.09,2065.16,575.51,-100.8,-88,-107.8,-99.6,-88.8,-102.8,-104.2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:46.010,373,3,8410,8428,8432,0,1055.8,2122.86,-87.8,-89,-105.2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:45.963,8,1,8410,0,-87.8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:46.557,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1851.75,835.82,231.7,-649.61,1358.33,2099.87,-95.4,-88.8,-95.4,-93.4,-90.2,-96.6,-102.4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:46.557,373,9,840F,8410,8415,8423,8428,8429,842E,8430,8432,0,-1865.35,709.18,98.97,-500.93,-681.51,1297.82,2391.14,837.23,-100.8,-88,-99.6,-94.8,-89.8,-91.4,-100.4,-103.0,-102.8,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:46.900,373,3,8428,8430,8432,0,2410.37,1220.43,-89.4,-103.4,-105.6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
